Content-based image retrieval for fabric images: A survey,"In recent years, a great deal of research has been conducted in the area of fabric image retrieval, especially the identification and classification of visual features. One of the challenges associated with the domain of content-based image retrieval (CBIR) is the semantic gap between low-level visual features and high-level human perceptions. Generally, CBIR includes two main components, namely feature extraction and similarity measurement. Therefore, this research aims to determine the content-based image retrieval for fabric using feature extraction techniques grouped into traditional methods and convolutional neural networks (CNN). Traditional descriptors deal with low-level features, while CNN addresses the high-level, called semantic features. Traditional descriptors have the advantage of shorter computation time and reduced system requirements. Meanwhile, CNN descriptors, which handle high-level features tailored to human perceptions, deal with large amounts of data and require a great deal of computation time. In general, the features of a CNN's fully connected layers are used for matching query and database images. In several studies, the extracted features of the CNN's convolutional layer were used for image retrieval. At the end of the CNN layer, hash codes are added to reduce search time. © 2021 Institute of Advanced Engineering and Science. All rights reserved.",CBIR CNN Fabric image Feature extraction Traditional descriptor 
A Survey of Emotion Recognition using Physiological Signal in Wearable Devices,"Emotion recognition may establish a clinical framework for measuring emotional wellbeing and screening for quality of life, cognitive dysfunction, and mental disorder. Emotions are conveyed not just through interpersonal actions but also by several physiological differences. Emotions can be monitored using physiological signals in wearable devices such as smartwatches or wrist bands. However, there are various challenges for detecting emotion in unrestricted daily life using wearable or smartwatch devices. These challenges result in lower performances of such systems compared to semi-restricted and laboratory environment studies. The addition of uniqueness in each individual physiological signal, physical activity level, and activity type to the physiological signals can affect classification accuracy of these systems. To tackle these challenges, we present a brief literature review on the study of physiological signals using wearable devices primarily from the last three years. The phase of emotion recognition using physiological signals is briefly defined. This paper also presents listed forms of physiological signals and various sensors for detecting them. In addition, we discussed the emotional models and emotional stimulation approaches. This study is expected to bring new insight into research challenges, limitations, and possible future emotion detection and recognition using wearable or smartwatch devices. © 2021 IEEE.",Affective Computing; Affective Wearables; Emotion Recognition; Physiological Signals; Review; Smartwatch; Wearable Devices Artificial intelligence; Physiology; Speech recognition; Wearable computers; Classification accuracy; Emotion recognition; Emotional stimulations; Emotional wellbeing; Laboratory environment; Physical activity levels; Physiological differences; Physiological signals; Biomedical signal processing
Competencies Measurement Framework Using Course Scoring Sheet (CSS) and Course Competencies Score (CCS),"Academic performance is an essential focus in Higher Education. Outcome-Based Education (OBE) is recently used to measure the competencies achievements of the students in courses. In OBE, the curriculum is designed to measure students' competency achievement in each course. For this reason, it is necessary to measure course competencies achievement to provide information on whether the course learning outcome has already been fulfilled or not. This study aims to offer course competencies measurement framework and formulas using Course Scoring Sheet (CSS) at the course level. © 2021 IEEE.",competencies measurement; higher education; outcome-based education; scoring Academic performance; Competency measurement; High educations; Learning outcome; Outcome-based education; Scoring; Student competencies
A barrier diagnostic framework in process of digital transformation in higher education institutions,"Purpose: Existing literature has reported a barrier list that could affect the implementation of digital transformation in higher education, yet the research question of how to identify barriers remained unanswered. Thus, this study intended to address this gap. Design/methodology/approach: The research design adopted a mixed-methods approach based on the problem-centered design science research (DSR) process model for the development and evaluation of framework. Findings: This study proposed a systematic framework of three sets of components: (1) the initial set of barriers; (2) the barrier rating scheme and (3) the barrier scoring matrix. The three-component of the framework is to identify and prioritize barriers to the successful implementation of digital transformation in higher education. Research limitations/implications: The evaluation of the framework was only based on an expert opinion. Practical implications: This study provided a direction to the policymakers for designing sensible strategies to increase the chances of a successful digital transformation in higher education. Originality/value: This study contributes to the knowledge body by offering a more systematic understanding of barriers to digital transformation in higher education. © 2021, Emerald Publishing Limited.",Barrier diagnostic framework; Decision process; Digital transformation; Higher education institution 
Identifying and prioritizing barriers to digital transformation in higher education: a case study in Indonesia,"Purpose: This study aims to test a theoretical framework to identify and prioritize barriers in the implementation of digital transformation in higher education. Design/methodology/approach: The framework was tested using the context of a particular nation: Indonesia. First, a survey questionnaire was conducted to identify the key barriers. Second, the contextual relationship between the key barriers was determined based on an expert’s input to find the importance level of barriers and the degree of difficulty to fix the barriers. Finally, a barrier priority matrix was developed to prioritize the barriers. Findings: This study identified the key barriers in the implementation of digital transformation in higher education in Indonesia including eight contextual issues, one technical issue and two cultural issues with different levels of importance and difficulty. Based on the matrix constructed, this study also presented a list of the top 11 priorities of barriers. Research limitations/implications: The results were based on a particular region context. Practical implications: This study lays the foundation for the theoretical framework that is practically useful to perform the identification and prioritization of barriers. Besides, the result discussed in this study gives some direction for policymakers in designing sensible strategies to overcome the barriers. Originality/value: The main contribution of this study is an empirical study that systematically identifies and prioritizes barriers to digital transformation in higher education. © 2021, Emerald Publishing Limited.",Barriers; Barriers diagnostic framework; Digital transformation; Higher education Surveys; Contextual relationships; Cultural issue; Design/methodology/approach; Digital transformation; Empirical studies; Higher education; Prioritization; Theoretical framework; E-learning
"A Systematic Literature Review of Intrusion Detection System for Network Security: Research Trends, Datasets and Methods","Study on intrusion detection system (IDS) mostly allow network administrators to focus on development activities in terms of network security and making better use of resource. Many IDS datasets, techniques and methods conducted by some administrator to get a good performance of IDS. But, some methods, techniques and datasets published differently show that research in the field of intrusion detection is losing comprehensiveness. This literature review aims to analyze and identify the research trends of techniques, datasets and methods used on IDS topics that published in January 2016 to May 2020. Based on inclusion and exclusion criteria was found 62 primary studies that focus and related to IDS topic, that focuses on seven machine learning techniques: classification (81%), clustering (8%), estimation (3%), association (2%), prediction (2%), dataset analysis (3%) and the minor research covered only 1% for statistic. Beside that, the research studies used public datasets as 79% and private datasets as 21%. Eighteen different methods (algorithm) have been applied and proposed to detect intrusion. From the eighteen methods, six methods most applied in IDS, they are k Nearest Neighbor (k-NN) 7%, Random Forest (RF) 7%, Naïve Bayes (NB) 15%, Decision Tree (DT) 17%, Neural Network (NN) 20% and Support Vector Machine (SVM) 34%. Furthermore, some researchers proposed some techniques and methods to improve the accuracy of machine learning classifier on IDS, like ensembling machine learning methods, using boosting algorithm and combined feature selection algorithm. Future work may ensemble classifier methods can tackle the classification problem and can improve accuracy in detecting intrusions. © 2020 IEEE.",Dataset; Intrusion Detection System (IDS); Machine Learning; Network Securty; Systematic Literature Review (SLR) Adaptive boosting; Barium compounds; Classification (of information); Computer crime; Decision trees; Intrusion detection; Learning systems; Nearest neighbor search; Sodium compounds; Support vector machines; Development activity; Ensemble classifiers; Inclusion and exclusions; Intrusion Detection Systems; Machine learning methods; Machine learning techniques; Network administrator; Systematic literature review; Network security
Does system based on artificial intelligence need software engineering method? systematic review,"Software engineering is the most important stage in developing a system. Software engineering is used to facilitate developers in developing systems in the form of a mobile, web, or artificial intelligence-based system. Systematic Review is a way to find data and related problems that can strengthen a person to conduct a study. In this paper. Researchers conducted a systematic review to find whether an Artificial Intelligence-based system requires Software Engineering when designing the system. The main purpose of this systematic review is to gather prior research related to developing Artificial Intelligence-based systems from design to the implementation phase and discover what methods are they common use in developing their systems and define what is the reason behind they selected method or even does not use Software Engineering methods in developing them. © 2020 IEEE.",Agile for AI system; AI method; Software engineering method; Systematic review; Waterfall for AI system Software engineering; Software engineering methods; Systematic Review; Artificial intelligence
The Triangulation Assessment Model for Capstone Project in Software Engineering,"In this article, we discuss how to assess the capstone project in the software engineering domain. The main problem to assess the capstone project in software engineering is the subjectivity and non-standardization of the assessment model. Therefore, there are some challenges to make the assessment consistent between one project to the other. This article proposed a triangulation assessment model for two types of capstone projects in software engineering fields based on the Delphi study performed in one academic year in winter and spring 2019. This article evaluates the consistency of the triangulation assessment model in 10 capstone projects. As a result, the Delphi study clustered this article contribution into three themes: (1) typical capstone project in the software engineering field, (2) triangulation of assessment model in capstone, (3) the characteristics of successful capstone project. © 2020 IEEE.",assessment model; capstone project; software engineering Triangulation; Assessment models; Capstone projects; DELPHI study; Software engineering domain; Software engineering
Reverse Engineering Website Navigation Using an Information Architecture Approach (Case Study: Kanal Pengetahuan Universitas Gadjah Mada),"In its development, the website of Kanal Pengetahuan UGM is built through a practical approach, so there are many shortcomings in defining the need and strategy information for the needs of the service business. As for the current problem, i.e., poor navigation related to the definition of primary content and links in the navigation menu. This is causing the granularity of information that makes users difficult to understand and find the information they need. This research aims to do reverse engineering of website navigation using the information architecture method to investigate the way how users to find and interact with information content from the website. The main contribution of this research is the analysis of the result of card sorting has directed the research to gain insight into how the users in categorizing information on the website. As a result, in the current system, there are only 3 categories that have not yet represented all the information provided by the website, so that research conducted with 102 participants produced a new navigation proposal with 4 new categories that fit the user's mental model. © 2020 IOP Publishing Ltd. All rights reserved.", Air navigation; Information management; Information retrieval; Navigation; Reverse engineering; Websites; Card-sorting; Current problems; Gain insight; Information architectures; Information contents; Mental model; Service business; Information use
The Comparison of Cloud Migration Effort on Platform as a Service,"Platform as a Service offers users to easily and quickly deploy applications in the cloud environment without thinking about the availability of supporting resources for developing the application. However, migrating on-premise applications to cloud vendors still has risks ranging from the compatibility of application technology with the cloud platform to the efforts needed. One obstacle in the adoption of cloud technology is the lack of visibility in planning migration efforts. So this study aims to measure and compare the feasibility of PaaS cloud vendors based on the calculation of the effort required during the migration process through an empirical approach. Specifically, an experiment was carried out by migrating on-premise application to Amazon Elastic Beanstalk, Azure App Service, and Google App Engine. Empirical results show that Azure App Service and Amazon Elastic Beanstalk have similar complexity of effort, while Google App Engine has the highest complexity of effort. © 2020 IOP Publishing Ltd. All rights reserved.", Engines; Application technologies; Cloud environments; Cloud migrations; Cloud technologies; Empirical approach; Google app engines; Migration process; Supporting resources; Platform as a Service (PaaS)
Test case understandability model,"Several automated test case generation techniques have been proposed to date, although the adoption of such techniques in the industry remains low. A key factor that has contributed to this low adoption rate is the difficulty experienced by the developer in terms of reading and understanding automatically generated test cases. For this reason, it is essential to construct a test case understandability model for improving the generated test case. In the present paper, we extracted 20 test case metrics, six developer related metrics and two understandability proxies from a white-box test case classification experiment. Based on these metrics, we employed classification and regression algorithms to build test case understandability model. From the experiment, we can conclude that combined metrics always exhibit better discriminatory performance in classification models as well as a higher correlation in regression models when compared to a model that involved only test case metrics or developer metrics. © 2020 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.",Automated test case generation; Test case; Understandability model Regression analysis; Automated test case generation; Automatically generated; Classification models; Combined metrics; Regression algorithms; Regression model; Test case classification; Understandability; Automatic test pattern generation
Review of Spectrum Handoff Schemes in Cognitive Radio Networks,"Cognitive radio networks (CRN) are a new technology that offers a promising solution to the problem of spectrum scarcity. To ensure optimal spectrum utilization, when the primary user (PU) is detected to be present on the channel or there is a decrease in spectrum quality, the secondary user (SU) must switch or remain on the channel, this condition is known as spectrum mobility. One of the problems related to spectrum mobility is spectrum handoff, where this handoff plays an important role in supporting the availability and performance of spectrum mobility. This paper presents various schematic handoff modeling techniques for secondary users in performing spectrum handoffs. Apart from channel efficiency, minimizing the number of handoffs is also a challenge. In the future, it is necessary to strive for a handoff algorithm that can adapt to these conditions.. © 2021 IEEE.",Cognitive Radio Networks; Mobility Spectrum; Schematic Handoff Spectrum Radio; Radio systems; Cognitive radio network; Condition; Handoff; Handoff scheme; Mobility spectra; Schematic handoff spectrum; Secondary user; Spectra's; Spectrum handoffs; Spectrum mobilities; Cognitive radio
Handover decision for v2v communication in vanet based on moving average slope of rss,"In a vehicular ad hoc network (VANET), the nodes have very high mobility and hence, it is an important challenge to maintain the quality of communication. Due to the mobility, the vehicle nodes should perform handover from one infrastructure to another. Thus, the better quality of signal can be obtained. In vehicle to vehicle (V2V) communication, the nodes may experience more frequent handover than in vehicle to infrastructure (V2I) communication. Frequent handover can aggravate the networks especially in routing process, since the network topology is also changed when a handover occurred. Moreover, the network resources are also used for handover process and hence the communication overhead increases. In this paper, a handover decision method is proposed to reduce the handover rate in V2V communication while maintaining the quality of signal. The proposed method utilizes the moving average slope of received signal strength (MAS-RSS) and signal to noise ratio (SNR) threshold in handover decision process. The MAS-RSS technique is used to observe the trend of RSS fluctuation and hence the handover can be decided adaptively with the change of the network condition. As the result, the handover rate can be reduced without causing the significant decrease of SNR average compared to the ordinary RSS based handover decision method. © 2021 Journal of Communications.",Handover decision; Mobile infrastructure; Moving average slope; Received signal strength; Vehicle to vehicle; Vehicular ad hoc network 
A controllable rsu and vampire moth to support the cluster stability in vanet,"VANET has a dynamic topology that affects cluster formation stability. It influences vehicle’s network quality though supporting this stability requires a fast and small cluster formation process. It is necessary because of the rapidly changing condition of the vehicle’s position. Moreover, small cluster groups make network quality more evenly distributed among its members. They are essential components in the formation of good clusters in VANET. In the previous research, the algorithm used for this process is based on moth flame optimization. This study proposes modifications in this algorithm to speed up the convergence process, facilitated by a model of turning angles in the moth. Furthermore, the flame at the destination moth is created dynamically to approach the real conditions in VANET. The use of coefficients is further introduced to reduce cluster size according to the traffic conditions. The cluster management process uses a fully controlled Road Side Unit on the vehicle’s traffic conditions. In the final result, the convergence time is slightly faster, with better results in the throughput at 101.1%, the number of clusters at 58.1%, and the delay at 5.5%, respectively. © 2021",Algorithm; Cluster; Mfo; Stable & Vanet 
Roadside Unit Power Saving using Vehicle Detection System in Vehicular Ad-hoc Network,"VANETs need electrical resources to operate their equipment, with the most significant power consumption capable of playing complex roles in the infrastructure network located in the RSU. The main resource of power for the VANET is electricity, which is currently expensive, with excess consumption capable of increasing operational and maintenance costs. Therefore, it is necessary to have an efficient method of using electric power consumption for optimal utilization. Therefore, this research aims to solve these problems by proposing a VDS method, which is capable of detecting vehicles entering the coverage of an RSU. The proposed method tends to enable RSU to run in two operating modes, namely active and sleep. The active mode serves the full connection to the vehicles, while the sleep mode is the idle state of RSU. The application of this method has been proven to reduce the electrical power consumption of RSU macrocell and microcell by 22.2%. The VDS is compelling in low traffic flows, however, it is not inferior when implemented in high vehicle traffic. © 2020 IEEE.",macrocell; microcell; power; rsu; vanet Electric power utilization; Electric utilities; Energy efficiency; Intelligent systems; Vehicles; Electric power consumption; Electrical power consumption; Electrical resources; Infrastructure networks; Macrocell and microcell; Maintenance cost; Optimal utilization; Vehicle detection systems; Vehicular ad hoc networks
Fuzzy Adaptive Hysteresis of RSS for Handover Decision in V2V VANET,"A communication technology which enables the information exchanges between vehicles to support intelligent transportation system is the characteristic of vehicular ad hoc network (VANET). The vast applications of VANET including transportation safety, traffic management, and passenger amenities are also followed by some technical challenges. The rapid topology changes and high nodes mobility are the main source of the challenges. One of the prominent challenges is the handover decision, especially in vehicle to vehicle (V2V) communication. In this paper, handover decision method for V2V VANET is proposed using fuzzy system. The proposed method adjusts the value of received signal strength (RSS) hysteresis adaptively using fuzzy system so that the proposed handover decision method is called fuzzy adaptive hysteresis (FAH). To adjust the value of hysteresis, fuzzy system utilizes RSS value, speed difference, and connected time as the input. Based on the simulation results, the proposed method can reduce handover rate as well as maintaining the higher value of signal to noise ratio (SNR) average. © 2020. All Rights Reserved.",fuzzy system; handover decision; RSS hysteresis; vehicle-to-vehicle; vehicular ad hoc network 
A Process Checkpoint Evaluation at User Space of Docker Framework on Distributed Computing Infrastructure,"This paper presents an evaluation of a process migration checkpoint issues, especially the potential collision of resources usage at user level (space) over a distributed computation infrastructure. In particular, within the docker and its container framework when application checkpointing and restore (resume) occurs quite regularly for shared computing resources. This evaluation will be utilized and be part of larger research titled ""Modelling Fast User Space Mutual Exclusive (FUTEX) Process Threads in Single-System Image (SSI)"". This paper is primarily written from the literature study and simple exploration experiment and are performed to gather preliminary understanding of the potential issues, performance caveats and testbed setup. The continuation future research will involve nondeterministic modelling simulation using Color Petri Net as comparison to the empirical data resulted from the testbed. It is the aim of this paper to serve as an early study of the larger research as an early exploration utilizing docker and container framework. © 2020 IEEE.",Checkpointing and Restore in Userspace (CRIU); Distributed Computing; Docker Framework; User Space Mutual Exclusive Containers; Petri nets; Check pointing; Color petri net; Computing infrastructures; Computing resource; Distributed computations; Literature studies; Process migration; Single system image; Testbeds
ABNC: Adaptive border node clustering using genes fusion based on genetic algorithm to support the stability of cluster in VANET,"The clustering method in the vehicular ad-hoc network provides an opportunity for a cluster head to improve the network connections, but it still remains a problem in the border cluster. The vehicles, in view of their position in the slices of two clusters, receive a weak signal from the cluster head. The intersection area causes a throughput decrease for cluster members. To provide the network connection in the border cluster, we, in turn, proposed an adaptive border node clustering by utilizing the combination of K-Medoids algorithm, modified Genetic Algorithm and modified Tabu Search. We ameliorated the recent model in Enhanced Model of Weighted K-Medoids Clustering Algorithm by adding the fusion process to the best gene pieces into one individual temporary. The effects of this fusion were on the production of a temporary cluster that can make the main cluster environment more stable. This temporary cluster was adapted to the position of the two closest main cluster heads. Our model was found able to increase throughput and to keep the stability of cluster members at any velocities. The increase in throughput represents an improvement parameter in the network quality of service (QoS). We achieved the overall throughput at 93.97% (throughput vs cluster member) compared with the previous methods and the cluster member stable at around 25 vehicles (cluster member vs transmission range) in varied conditions. © 2019 Intelligent Network and Systems Society.",Clustering; Genetic algorithm; K-medoids; Tabu search 
Utility-based horizontal handover decision method for vehicle-to-vehicle communication in VANET,"Vehicular ad hoc network (VANET) is the emerging wireless communication technology in vehicular domain to support the safety and non-safety purposes in transportation. Despite the potential implementation of VANET, some challenges mainly due to the dynamic environment need to be addressed and tackled. In this paper, the horizontal handover especially in vehicle-to-vehicle (V2V) connection is investigated. The dominant handover decision method in wireless network, namely received signal strength (RSS) based method, is actually inappropriate for the implementation in V2V VANET. Therefore, a utility based handover decision method is proposed in this paper. The utility function is formulated based on the value of signal to noise ratio (SNR) and the load of network. Despite the fluctuation of SNR, the proposed method can make the better handover decision i.e. by reducing the ping pong effect and improving the throughput by selecting the network with lower load. In this research, the proposed method is evaluated through simulations. The results of simulations show that the proposed method can improve the performance of V2V handover in terms of throughput and handover rate compared with the RSS based method. © 2020 Intelligent Network and Systems Society.",Handover decision; Utility; Vehicle-to-vehicle communication; Vehicular ad hoc network 
Applying Metamorphic Testing to E-commerce Website Search Engines,"The main challenges of e-commerce is to attract and maintain a healthy relationship with users, because users simply interact with software. Development of E-commerce in Indonesia within the last four years rapidly increased up to 500%. The growth of e-commerce has made testings on e-commerce important. Search engine is one of the most important features in e-commerce. This study conducts testing on e-commerce's search engines using metamorphic testing. This study proposes MR-Sorting and MR-SubsetEquality. The proposed metamorphic relation is a part of a feature provided by e-commerce. The testing is implemented on three major e-commerce websites used in Indonesia, which is Lazada, Tokopedia, and Blibli. Based on the proposed metamorphic relation, conducted testing discovered an inconsistency problem which could affect customer satisfaction in using e-commerce websites. It is assumed the problem occur on source data in which the feature's implementation wasn't applied on the original source data requested when a user conduct searches on search engines and a product's low description convention on e-commerces. Proposed metamorphic relation in this study can be used on other e-commerce websites. It is expected upon future studies to conduct similar studies on more e-commerce websites so the maturity of the proposed metamorphic improves and to conduct deeper studies on discovered inconsistencies in influencing user satisfaction and the declining quality of e-commerce websites. © 2019 IEEE.",e-commerce; inconsistency; Metamorphic testing; search engines; software quality Customer satisfaction; Electronic commerce; Intelligent systems; Websites; E-commerce websites; Important features; Indonesia; Metamorphic relations; Metamorphic testing; Source data; User satisfaction; Search engines
A Comparative Study Cluster-Based Routing Protocols in VANETs for City Environment,"Vehicular Ad-hoc Networks (VANETs) is consid-ered as an extension of Mobile Ad-hoc Networks (MANETs) which the vehicles have high mobility on the street and in-Termittent connectivity. The vehicles move on the street and communicate with each other to share the information such as traffic information, road condition, warning message at the corner, and browsing the internet at the car's backseat, etc. Because of the quick speed of vehicles and intermittent connectivity that making routing protocol plays a significant role in VANETs to deliver the packets among the nodes. There have bio-inspired routing protocols and traditional routing protocols, as well as mobility models, are proposed to obtain an optimal solution for this challenge. In this paper, we illustrate the essential information about the cluster-based technique in VANETs and do a comparative study on cluster-based routing protocols between ACO and AODV, and its mobility for the city environment. © 2019 IEEE.",ACO; AODV; Cluster-based; Routing; VANET Biomimetics; Intelligent systems; Road vehicles; Routing protocols; Bio-inspired routing; Cluster based routing protocols; Comparative studies; Intermittent connectivity; Mobile adhoc network (MANETs); Optimal solutions; Traffic information; Vehicular Adhoc Networks (VANETs); Vehicular ad hoc networks
Performance study and optimization of multi-channel allocation in VANET under physical channel model,"Vehicular networking has a promising potential as a communication medium to relay the information related with the road safety, traffic efficiency and infotainment and thus many researches are conducted in this area. This research presents a study of multi-channel allocation in orthogonal frequency multiple access vehicular ad hoc network (VANET) under physical channel model. The performance of channel allocation using the altered number of channels allocated per vehicle is observed. An optimization method for channel allocation is also presented. The optimization method is based on meta-heuristic approach namely bacterial foraging optimization algorithm (DBFO). The sets of channels allocated to vehicles are represented by the position of bacterium. To improve the performance of channel allocation, the signal to interference and noise ratio (SINR) of vehicles is used as the objective function of DBFO. Hence, DBFO is utilized to find the appropriate channels for vehicles so that the SINR and the throughput of vehicles can be increased. The performances of multi-channel allocation in VANET and the proposed optimization method are observed through the extensive simulations. The results of the simulations show that increasing the number of channels allocated per vehicle can decrease the SINR average since the interference level increases. Meanwhile the vehicle throughput increases since the more channels allocated to vehicles means the more bandwidth utilized. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Channel allocation; Discrete bacterial foraging optimization; Orthogonal frequency multiple access; Vehicular ad hoc network Heuristic methods; Motor transportation; Optimization; Signal interference; Signal to noise ratio; Vehicle performance; Bacterial foraging optimization; Bacterial foraging optimization algorithms; Channel allocation; Meta-heuristic approach; Multi-channel allocations; Multiple access; Physical channel modeling; Signal-to-interference and noise ratios; Vehicular ad hoc networks
Review of Potential Methods for Handover Decision in V2V VANET,"Vehicular ad hoc network (VANET) enables the vehicles to communicate each other. This technology could lead the future of transportation system by enabling the safety application, traffic management, and passenger entertainment. However, due to the fast moving nodes and very dynamic environment, VANET has some challenges waiting to be solved. One of the problems is related with vehicle to vehicle (V2V) handover decision. In this paper, the problem related to V2V handover decision is investigated. Furthermore, several potential methods to solve the problem are presented. The implementations of those methods in VANET are surveyed to assess the potential. Finally, the advantages and disadvantages of each method related to the implementation for V2V handover decision are presented in discussion. © 2019 IEEE.",handover decision methods; vehicle to vehicle; vehicular ad hoc network Vehicles; Dynamic environments; Handover decision; Moving nodes; Potential methods; Safety applications; Traffic management; Transportation system; Vehicle to vehicles; Vehicular ad hoc networks
MRV-M: A cluster stability in highway VANET using minimum relative velocity based on K-medoids,"The cluster stability is the main feature to be achieved in the vehicular ad-hoc network. There are two primary algorithms in clustering to support cluster stability. These algorithms are K-Means and K-Medoids. They have a purpose of aiming cluster and selecting the Cluster Head (CH). The roadside unit (RSU) in the cluster has a responsibility to select the CH. In general, a central vehicle in a cluster will be selected as a CH. It is not always true whenever the CH has a different velocity with its members and it can influence the cluster stability. To handle this problem, we proposed a new method using relative velocity sorting that was inspired by K-Medoids algorithms. This proposed method is called as Minimum Relative Velocity based on K-Medoids (MRV-M). It combines the velocity and the position of each vehicle to select the best CH. The impact of M-RVM is increasing the stability of the CH duration. It also can increase the CH duration than using the previous method with the original algorithm from both of K-Means and K-Medoids. The proposed method was proved by the stable duration of the CH although it moves in different velocity with its members. Furthermore, it also can be proven in the small cluster size in each cluster. This has a consequence of network performance improvement, especially in throughput. © 2019 IEEE.",Cluster; K-means; K-medoids; Stability; VANET Stability; Vehicular ad hoc networks; Velocity; Cluster head; Cluster stability; K-medoids; K-medoids algorithms; Original algorithms; Relative velocity; Roadside units; Small clusters; K-means clustering
A conceptual framework of adaptive mobile POI recommendations,"Many mobile applications that recommend attractive and customized POIs are often not adaptive enough for users who are actively traveling. Although almost all mobile applications and one concept of the mobile recommendation system have been able to adapt to users, in fact, the findings prove that this is only a small effort that mostly focuses on capturing user behavior during tourism activities. Instead, the Adaptive Mobile Recommendation System (AMRS) is proposed by carrying out all possible configurations that can improve adaptability in mobile applications. Furthermore, the AMRS was built as a new concept based on the Adaptive Tourist Recommendation System (ATRS) concept that was proposed in the past. AMRS takes advantage of the travel cycle and the concept of experiential learning as an unlimited effort of adaptivity that can be applied in a real way using the structure of the recommendation system. © 2019 IEEE",Adaptive; Experiential Learning; Mobile; Recommendation System Behavioral research; Learning systems; Mobile computing; Adaptive; Conceptual frameworks; Experiential learning; Mobile; Mobile applications; Mobile recommendations; Tourism activities; User behaviors; Recommender systems
Data distribution on the goodness behaviour system with blackboard based architecture,"Innovation in terms of the utilization of ICT (Information and Communication Technology) in social life is highly required to prompt the implementation of good social behavior, particularly among students in school. To do so, it requires a system innovation that is able to facilitate the process of goodness behavior implementation among students in school. The system must be capable of supporting an efficient data exchange among students. To achieve this, this research would use the two-way relationship as the base of data distribution. In building the concept of two-way relationship, it requires the design of the structured data distribution flow concept in the form of software architecture. Blackboard architecture is an architectural type that would be used to design the data distribution among users in which the designed blackboard would be efficient with the independent components to support the data distribution and the implementation of the goodness behavior among students. © 2019 IEEE",Blackboard architecture; Goodness Behavior; Two-way relationship Electronic data interchange; Social aspects; Students; Architectural types; Behavior implementation; Blackboard architecture; Goodness Behavior; Independent components; Information and Communication Technologies; System innovations; Two ways; Architectural design
Effect of the Application of TEA Algorithm on the Development of Secure Phone Application Android Smartphones,"Android smartphone technology is growing rapidly. It is indicated that by utilizing the features of internet telephone service via the Voice over Internet Protocol (VoIP), users are able to make conversation easily and inexpensively. However, with the development, the internet telephone service used is unnecessarily safe for use. One of the solutions proposed is to make end-to-end encryption. This research applied TEA algorithm for encryption into the VoIP client of Sipdroid in Android smartphones. The objective of the research is to find out the effect of the application of TEA algorithm for encryption into the VoIP client of Sipdoid by investigating the performance of TEA algorithm in view of mean opinion score (MOS), delay, and throughput in VoIP. The results of measurement and calculation show that the application of TEA algorithm produced quality speech with R factors of 72.11676-75.01362 smaller than no TEA algorithm application with those of 84.79064-85.38539. Meanwhile, the effect of VoIP performance on such application generated a much larger delay of 0.018084 to 0.024327 seconds compared to no TEA algorithm application with a delay of 0.006071458 to 0.009465105 seconds. The results indicate that the application of TEA algorithm could more effectively contribute to the security of VoIP client practice, particularly in Android smartphones. © Published under licence by IOP Publishing Ltd.", Android (operating system); Cryptography; Internet telephony; Smartphones; Voice/data communication systems; Web services; Android smartphone; End-to-end encryption; Internet telephone services; Mean opinion scores; Phone applications; TEA algorithms; Voice over Internet protocol; VoIP performance; Mobile security
Channel sharing utility function of power control game in cognitive femtocell network,"The use of sharing channel simultaneously has become the trend in telecommunication technology particularly in network with distributed users as the allocation of frequency spectrum becomes more crowded. The proposed power control method in cognitive femtocell network is based on game theory (commonly known as power control game, PCG). This method uses utility function formula as the goal of game theory for power strategy in power update process. Utility function formula of Proposed PCG includes channel sharing factor that aimed to accommodate the system requirement of channel sharing. The result showed that the implementation of channel factor is inversely proportional to the signal to noise and interference ratio (SINR) and transmit power, but proportional to utility function. In comparison of user transmit power and SINR with two other methods, can also be conclude that Proposed PCG was able to achieve SINR of 5.49 dB and above the SINR target 5 dB, while the Thalabani (TB) and Koskie-Gajic (KG) were only able to achieve respective SINR of 4.87 dB and 4.98 dB. It can be concluded that the Proposed PCG was better in achieving the SINR target. It means that the quality of service in this system can be fulfilled properly. © 2019 Institute of Advanced Engineering and Science.",Channel sharing factor; Cognitive femtocell; Game theory; Power control game; Utility function 
Modification of PRoPHET to enhance train-based delay-tolerant networks performance,"Probabilistic Routing Protocols using History of Encounters and Transitivity (PRoPHET) assume that nodes do not move randomly but encounter destinations that have been encountered before. In some original PRoPHET and original PRoPHETv2 testing, they are superior to other routing protocols. Testing in environments that use trains as relay nodes, original PRoPHET performance is worse than the epidemic. This happens because messages delivery to other relay nodes are assumed to encounter the destination (having a larger probability of encountering destination) while the other relay nodes are moving away. The original PRoPHET and the original PRoPHETv2 performance can be improved by delivering a message to relay nodes that will encounter the destination. This can be done by delivering a message to relay nodes with lower probability values encountering the destination. The result obtained is a modified PRoPHET and a modified PRoPHETv2 performance improvement compared to the original PRoPHET and the original PRoPHETv2. © 2019 Intelligent Network and Systems Society.",Lower probability values encountering the destination; Probabilistic routing protocol using history of encounters and transitivity (PRoPHET); PRoPHETv2; Trains 
